title,url,section,published_date,article_text
How Alvin Bragg Resurrected the Case Against Donald Trump,https://www.nytimes.com/2023/03/31/nyregion/alvin-bragg-trump-investigation.html,nyregion,2023-03-31T21:58:46-04:00,
"Trump’s G.O.P. Rivals, Shielding Him, Reveal Their 2024 Predicament",https://www.nytimes.com/2023/04/01/us/politics/trump-desantis-republicans-2024.html,us,2023-04-01T03:00:07-04:00,
Indicted and Running for Office? It Didn’t Begin With Trump.,https://www.nytimes.com/2023/04/01/us/politicians-indicted-trump-rick-perry.html,us,2023-04-01T05:00:25-04:00,
Venice Is Saved! Woe Is Venice.,https://www.nytimes.com/2023/04/01/world/europe/venice-mose-flooding.html,world,2023-04-01T05:00:52-04:00,
Storms Kill at Least 10 as Tornadoes Tear Through Midwest and South,https://www.nytimes.com/2023/03/31/us/midwest-storms-flood-weather.html,us,2023-03-31T10:58:22-04:00,
One Dead and Dozens Hurt in Roof Collapse at Illinois Theater,https://www.nytimes.com/2023/04/01/us/theater-roof-collapse-belvidere-illinois.html,us,2023-04-01T05:31:45-04:00,
"China Draws Lessons From Russia’s Losses in Ukraine, and Its Gains",https://www.nytimes.com/2023/04/01/world/asia/china-russia-ukraine-war.html,world,2023-04-01T05:00:28-04:00,
Espionage Charge Adds Hurdle to Freeing a Reporter Detained in Russia,https://www.nytimes.com/2023/03/31/us/politics/russia-evan-gershkovich-arrest-wsj-reporter.html,us,2023-03-31T18:39:38-04:00,
"Ukraine Charges a Leading Ukrainian Vicar, as Russia Pounds Eastern Ukraine",https://www.nytimes.com/2023/04/01/world/europe/russia-ukraine-war-east.html,world,2023-04-01T06:00:00-04:00,
Now Playing in China: Putin-Aligned Artists Shunned in the West,https://www.nytimes.com/2023/03/31/arts/music/russia-china-culture.html,arts,2023-03-31T11:49:18-04:00,
Caitlin Clark and Iowa Deliver Toppling Upset of South Carolina in Final Four,https://www.nytimes.com/2023/03/31/sports/ncaabasketball/iowa-south-carolina-lsu-womens-final-four.html,sports,2023-03-31T23:50:34-04:00,
"When Every Win Means Water, Water Everywhere",https://www.nytimes.com/interactive/2023/03/31/sports/ncaabasketball/locker-room-celebrations-water-pour.html,sports,2023-03-31T18:51:36-04:00,
A Once Lowly Program Gets a Second Shot at the Top,https://www.nytimes.com/2023/04/01/sports/ncaabasketball/san-diego-state.html,sports,2023-04-01T00:01:08-04:00,
The Beach Boys Making a Final Four Run,https://www.nytimes.com/2023/04/01/sports/ncaabasketball/florida-atlantic-final-four.html,sports,2023-04-01T00:01:08-04:00,
"The ChatGPT King Isn’t Worried, but He Knows You Might Be",https://www.nytimes.com/2023/03/31/technology/sam-altman-open-ai-chatgpt.html,technology,2023-03-31T14:40:06-04:00,
"Thailand’s Unemployed Elephants Are Back Home, Huge and Hungry",https://www.nytimes.com/2023/04/01/world/asia/thailand-elephants-tourism-debate.html,world,2023-04-01T05:00:41-04:00,
Millions of Americans May Soon Lose Medicaid Coverage. Here’s How to Prepare.,https://www.nytimes.com/2023/03/31/well/live/medicaid-health-insurance-eligibility.html,well,2023-03-31T18:39:45-04:00,
The Weekender,https://www.nytimes.com/interactive/2023/03/30/briefing/the-weekender.html,briefing,2023-03-30T17:08:39-04:00,
"The New York Times News Quiz, March 31, 2023",https://www.nytimes.com/interactive/2023/03/31/briefing/news-quiz-trump-nashville.html,briefing,2023-03-31T05:01:00-04:00,
‘Yellowjackets’ Shows Us the Teenage Girlhood We Were Hungry For,https://www.nytimes.com/2023/04/01/magazine/yellowjackets-showtime.html,magazine,2023-04-01T05:00:12-04:00,
The Fight for Israel’s Democracy Continues,https://www.nytimes.com/2023/04/01/opinion/israel-protests-netanyahu.html,opinion,2023-04-01T09:00:07-04:00,
Trump’s Prosecution Has Set a Dangerous Precedent,https://www.nytimes.com/2023/04/01/opinion/trump-prosecution-precedent.html,opinion,2023-04-01T09:00:08-04:00,
The Rule of Law Now Depends on Republicans,https://www.nytimes.com/2023/03/31/opinion/trump-indictment-rule-of-law.html,opinion,2023-03-31T16:25:47-04:00,
"The First Trump Indictment Is Here, and It Matters",https://www.nytimes.com/2023/03/31/opinion/trump-criminal-charges-indictment.html,opinion,2023-03-31T15:34:06-04:00,
Bring the Kids Along,https://www.nytimes.com/2023/04/01/briefing/family-travel-trends.html,briefing,2023-04-01T06:21:47-04:00,
Inside Saudi Arabia’s Global Push for Nuclear Power,https://www.nytimes.com/2023/04/01/us/politics/saudi-arabia-nuclear-biden-administration.html,us,2023-04-01T03:00:13-04:00,
Security Force or Anti-Arab Militia? Israelis Feud Over Far-Right Plan,https://www.nytimes.com/2023/04/01/world/middleeast/israel-netanyahu-ben-gvir-national-guard.html,world,2023-04-01T05:00:24-04:00,
"Go Play in the Street, Kids. Really.",https://www.nytimes.com/2023/04/01/nyregion/street-lab-open-streets-nyc.html,nyregion,2023-04-01T05:00:24-04:00,
Dior’s Gateway to India,https://www.nytimes.com/2023/03/31/style/dior-india-fashion-show.html,style,2023-03-31T10:24:16-04:00,
Today’s Wordle Review,https://www.nytimes.com/2023/04/01/crosswords/wordle-review-answer-651.html,crosswords,2023-04-01T03:00:03-04:00,
